CATEGORY | DATE | TITLE | KEY_POINTS | NUMERICAL_IMPACT | SENTIMENT
MACRO_INDONESIA | 2026-06-24 | BI Rate Hold at 5.75% with Hawkish Bias | BI maintains rate to defend Rupiah. Core inflation at 2.4% within target. BI projects GDP growth 5.0-5.4% for 2026. DNDF intervention intensifies. | Rupiah 16,200/USD. Reserves $145.2B. 10Y bond 6.85%. | NEUTRAL
MACRO_INDONESIA | 2026-06-20 | Current Account Deficit Widens to 1.2% of GDP | Services deficit from digital imports and travel. Remittance inflows weaken. Oil imports rise due to higher global prices. | CAD -1.2% vs -0.8% prev. Import cover 6.2 months. | NEGATIVE
MACRO_INDONESIA | 2026-06-15 | Government Plans VAT Hike to 12% in 2027 | Gradual increase to fund new capital Nusantara. Business groups oppose citing purchasing power weakness. | VAT 11% to 12% by Jan 2027. Inflation impact +0.5%. | NEGATIVE
MACRO_INDONESIA | 2026-06-10 | Indonesian Manufacturing PMI Rises to 53.2 | Driven by domestic demand and infrastructure spending. New export orders contract due to China slowdown. | PMI 53.2 vs 52.8. Employment sub-index 51.5. | POSITIVE
MACRO_INDONESIA | 2026-06-05 | BI Issues New DHE (Export Proceeds) Rule | Exporters must keep 30% of FX earnings onshore for 3 months. Aims to boost Rupiah liquidity. | $2B additional FX supply estimated. Rule effective July 1. | POSITIVE
MACRO_US | 2026-06-24 | Fed Signals Only One Rate Cut in 2026 | Dot plot shows median 4.6% by year-end. Powell cites sticky housing and services inflation. QT taper continues. | Fed Funds 5.25-5.50%. 10Y 4.45%. Balance sheet runoff $40B/mo. | NEGATIVE
MACRO_US | 2026-06-18 | US CPI Sticks at 3.5% YoY | Shelter costs up 5.2% YoY. Core services ex-housing up 4.1%. Energy deflation offsets some gains. | CPI 3.5% vs 3.4% exp. Core CPI 3.8%. | NEGATIVE
MACRO_US | 2026-06-12 | US Nonfarm Payrolls Add 185K Jobs | Unemployment at 3.9%. Wage growth moderates to 4.0% YoY. Labor force participation drops to 62.5%. | NFP 185K vs 170K exp. Wage growth 4.0%. | NEUTRAL
MACRO_CHINA | 2026-06-22 | China's GDP Growth Slows to 4.8% in Q2 | Property crisis deepens. Youth unemployment at 18%. Stimulus package of $150B announced for infrastructure. | GDP 4.8% vs 5.2% prev. PBOC cuts RRR by 25bps. | NEGATIVE
MACRO_CHINA | 2026-06-16 | China Exports Fall 3.2% YoY | Weak global demand. EU tariffs on EVs hit BYD and Geely. Exports to ASEAN rise 5% partly offsetting. | Exports -3.2%. Imports -1.5%. Trade surplus $65B. | NEGATIVE
MACRO_EUROPE | 2026-06-23 | ECB Cuts Rates to 3.25% | Lagarde signals more cuts if services inflation eases. German manufacturing recession deepens. | Deposit rate 3.25%. ECB balance sheet €6.8T. | NEUTRAL
MACRO_EUROPE | 2026-06-14 | Eurozone PMI Drops to 48.5 | France and Germany lead contraction. Services PMI 49.0 (below 50). New orders decline 6th month. | Composite PMI 48.5 vs 49.2 prev. | NEGATIVE
